ID,Sex,Nationality,Specialization,Title,Keywords,Date,Grade,Advisors,Pages,Words,Size,WordsPerPage
201812975,Feminino,Portugal,Engenharia de Software,Evaluating the Combination of Relaxation and Argumentation in Ontology Matching Negotiation,Negociação de mapeamentos de ontologias; Argumentação; Relaxamento; Agentes; Sistemas multi-agente; Mapeamento de ontologias; Ontology alignment negotiation; Argumentation; Relaxation; Agents; Multi-agent systems; Ontology matching,2013-11-15T00:00:00Z,16,Nuno Alexandre Pinto Da Silva,93,22292,1.835146,239.69892473118279
201813238,Masculino,Portugal,Engenharia de Software,Sistema móvel de telemetria para automóveis,GNSS; INS; Filtro de Kalman; Filtro complementar; Android; Localização; Kalman filter; Complementary filter; Localization,2013-11-14T00:00:00Z,16,Lino Manuel Baptista Figueiredo,139,39826,4.263048,286.51798561151077
201813297,Masculino,Portugal,"Arquitecturas, Sistemas e Redes",Avaliação dos Processos de Software utilizando CMMI,Áreas de Processo; Avaliação de Processos; CMMI-DEV; Estudo Empírico; Process Areas; Process Appraisal; Empirical Study,2013-11-13T00:00:00Z,15,Alberto Antonio Chalupa Sampaio,145,36143,3.703902,249.26206896551724
201813360,Feminino,Portugal,Engenharia de Software,Recomendações Personalizadas de Alunos em Sistemas de Hipermédia Adaptativa Educacional usando Data Mining,Sistemas de hipermédia adaptativa educacional; Modelação do aluno; Técnicas de Data Mining; Adaptive educational hypermedia systems; Student model; Data Mining techniques,2013-11-13T00:00:00Z,15,Antonio Constantino Lopes Martins,179,40198,2.768955,224.56983240223462
201813513,Masculino,Portugal,Sistemas Computacionais,Aplicação de Advergames no contexto do Ensino Superior,Jogos sérios; Publicidade online; Advergames; Serious games; Online advertising,2013-11-08T00:00:00Z,14,Carlos Miguel Miranda Vaz De Carvalho,87,19187,2.928138,220.54022988505747
201813548,Masculino,Estados Unidos da América,"Arquitecturas, Sistemas e Redes",Realidade Imersiva Aplicada a Espaços Culturais,Realidade Imersiva; Espaços Culturais; Museus; Espaços culturais e artísticos,2013-12-16T00:00:00Z,14,Antonio Abel Vieira De Castro,136,22224,7.749155,163.41176470588235
201814633,Masculino,Portugal,Sistemas Computacionais,Desenvolvimento de Recursos Educativos em Dispositivos Móveis,Educação à distância; Recursos educativos; Realidade aumentada; Dispositivos móveis; Processo de aprendizagem; Aplicações interativas; Distance education; Educational resources; Augmented reality; Mobile devices; Learning process,2013-11-21T00:00:00Z,15,Paula Maria De Sa Oliveira Escudeiro,124,29549,3.839334,238.2983870967742
201813645,Masculino,Portugal,Sistemas Computacionais,Tecnologias Multimédia no Apoio ao Ensino Aprendizagem de Suporte Básico de Vida,Suporte básico de vida; Objeto aprendizagem; E-learning; Basic life support; Learning object,2013-11-11T00:00:00Z,14,Antonio Abel Vieira De Castro,123,22249,4.064975,180.8861788617886
201813696,Masculino,Portugal,"Arquitecturas, Sistemas e Redes",Desenho e implementação de um data warehouse para a empresa AdClick,Data warehouse; Business intelligence; Marketing digital; Digital marketing,2013-09-11T00:00:00Z,15,Maria De Fatima Coutinho Rodrigues,108,28409,2.73271,263.0462962962963
201813777,Masculino,Portugal,Sistemas Computacionais,Uso de Interfaces Cérebro-computador na comunicação de pessoas com Síndrome de Encarceramento,Síndrome de Encarceramento; Neuroplasticidade; Interfaces Cérebromáquina; Interfaces cérebro-computador; Escrita preditiva; Locked-in syndrome; Neuroplasticity; Brain-machine interfaces; Brain-computer interfaces; Predictive text,2013-11-18T00:00:00Z,17,Antonio Abel Vieira De Castro,173,36356,31.970914,210.15028901734104
201813785,Masculino,Portugal,"Arquitecturas, Sistemas e Redes",Plataforma de Simulação em Repast Simphony para Análise da Divulgação de Novas Ideias em Mercado,Simulação; Sistemas multi-agente; Redes colaborativas; Divulgação de novas ideias; Inovação; Simulation; Multi-agent systems; Collaborative networks; Diffusion of new ideas; Innovation,2013-11-18T00:00:00Z,13,Isabel Cecilia Correia Da Silva Praca Gomes Pereira,91,19304,1.675926,212.13186813186815
201813793,Masculino,Portugal,Sistemas Computacionais,"Meios de partilha de Recursos Educativos Digitais: LMS, CMS e Cloud Computing",Gestão de conteúdos; Gestão da aprendizagem; Cloud Computing; Drupal; Wordpress; Joomla; Tecnologias de Informação na Educação; e-Learning,2013-11-15T00:00:00Z,14,Antonio Abel Vieira De Castro,174,28647,9.554062,164.63793103448276
201813823,Masculino,Portugal,Sistemas Computacionais,"Pré-processamento e Tag automático de imagens em ambiente móvel e web, aplicado a um sistema de informação geográfica",Notificação de problemas urbanos; Classificação automática; Anotações em imagem; Reconhecimento de imagem; Sistemas de informação geográficos; Aplicações móveis,2013-11-20T00:00:00Z,17,Maria De Fatima Coutinho Rodrigues,123,32419,2.720813,263.5691056910569
201813831,Masculino,Portugal,"Arquitecturas, Sistemas e Redes",RealCrono ? sistema de difusão de resultados em tempo real na web,Escalabilidade; Interoperabilidade; Comunicação em tempo real; WebSockets; Plataformas móveis; Scalability; Interoperability; RealTtime communication; Mobile ; latforms,2013-11-13T00:00:00Z,15,Paulo Alexandre Gandra De Sousa,124,16492,4.106458,133
201814641,Masculino,Portugal,Engenharia de Software,"Sistema de Recomendação: Share GFS ? Games, Films & Series",Sistema de recomendação; Tipificação de utilizadores; Inteligência Artificial; Manipulação e tratamento de incerteza; Redes de Bayes; Recommendation System; Grading of users; Artificial Intelligence; Handling and treatment of uncertainty,2013-11-04T00:00:00Z,16,Paulo Jorge Machado Oliveira,87,17748,10.462891,204
201813904,Masculino,Portugal,Sistemas Computacionais,Molecule: Sistema de organização e visualização de tags,Tag; Nuvem de tags; Similaridade; Sinónimo; Tradução; Visualização de tags; Tag cloud; Similarity; Synonymous; Translation; Tags visualization,2013-11-06T00:00:00Z,16,Isabel De Fatima Silva Azevedo,114,27324,3.180086,239.68421052631578
201813939,Masculino,Portugal,Sistemas Computacionais,Simulador em Realidade Virtual para Aprendizagem da Física,Háptico; Simulação; Física; Haptics; Simulation; Physics,2013-11-01T00:00:00Z,15,Carlos Miguel Miranda Vaz De Carvalho,99,21656,4.694029,218.74747474747474
